LATC,LONC,SCC,ANNCO,ANNNOX,ANNPM10,ANNPM25,ANNSO2,ANNVOC,Capa,STKHGT,STKDIAM,STKTEMP,STKFLOW,STKVEL,F,H efectiva
32.534722,-117.0436,30499999,6.4,37.72,11.43,,,68.47,4,41.4,2.0997,242,124.97,36.1,1.8,112.8
32.534722,-117.0436,30900199,,,,,,20.09,4,29.5,2.0997,177,86.45,25,3,126.8
32.534722,-117.0436,30900199,,,,,,21.86,4,29.5,2.0997,177,86.45,25,3,126.8
32.534722,-117.0436,30900199,0.16,0.94,0.03,0.03,,1071.3,4,29.5,2.0997,177,86.45,25,3,126.8
32.534722,-117.0436,30900199,0.11,0.63,0.02,0.02,,13.21,4,29.5,2.0997,177,86.45,25,3,126.8
32.534722,-117.0436,30900199,,,,,,19.13,4,29.5,2.0997,177,86.45,25,3,126.8
32.534722,-117.0436,30900199,0.01,0.04,,,,33.68,4,29.5,2.0997,177,86.45,25,3,126.8
32.534722,-117.0436,30900199,0.02,0.13,,,,12.11,4,29.5,2.0997,177,86.45,25,3,126.8
32.534722,-117.0436,31502001,,,,,,16.97,6,39.9,0.6889,90.9,0.64,1.7,0,39.8
32.534722,-117.0436,31502001,,,,,,66.52,6,39.9,0.6889,90.9,0.64,1.7,0,39.8
32.534722,-117.0436,31502001,,,,,,37.34,6,39.9,0.6889,90.9,0.64,1.7,0,39.8
32.534722,-117.0436,31502001,,,,,,13.06,6,39.9,0.6889,90.9,0.64,1.7,0,39.8
32.534722,-117.0436,31501000,,,,,,20.27,6,39.9,0.6889,90.9,0.64,1.7,0,39.8
32.534722,-117.0436,31399999,,,,,,34.11,4,37.4,1.706,122,60.37,26.4,3.1,130.7
32.534722,-117.0436,31399999,,,,,,34.38,4,37.4,1.706,122,60.37,26.4,3.1,130.7
32.534722,-117.0436,31399999,,,,,,29.69,4,37.4,1.706,122,60.37,26.4,3.1,130.7
32.534722,-117.0436,31399999,,,,,,22.08,4,37.4,1.706,122,60.37,26.4,3.1,130.7
32.534722,-117.0436,31399999,2.52,10.86,0.49,0.49,2.99,266.84,4,37.4,1.706,122,60.37,26.4,3.1,130.7
